id,type,name
Q96P53,Substrate,Q96P53
Q14966,Substrate,Q14966
Q14508,Substrate,Q14508
P48546,Substrate,P48546
Q9NWH2,Substrate,Q9NWH2
P40692,Substrate,P40692
Q8WWI1,Substrate,Q8WWI1
A0A0J9YX94,Substrate,A0A0J9YX94
Q9H8L6,Substrate,Q9H8L6
Q6UXZ4,Substrate,Q6UXZ4
P10767,Substrate,P10767
Q6ZW05,Substrate,Q6ZW05
Q6ZN06,Substrate,Q6ZN06
P09871,Substrate,P09871
Q96M02,E3,Q96M02
O43681,Substrate,O43681
Q07021,Substrate,Q07021
Q9Y6V7,Substrate,Q9Y6V7
C9JI98,Substrate,C9JI98
O43813,Substrate,O43813
Q13946,Substrate,Q13946
Q13227,Substrate,Q13227
Q14563,Substrate,Q14563
O15226,Substrate,O15226
P78552,Substrate,P78552
P51692,Substrate,P51692
P56705,Substrate,P56705
Q9HCP0,Substrate,Q9HCP0
Q8NDZ6,Substrate,Q8NDZ6
Q86VY9,Substrate,Q86VY9
Q9BXA7,Substrate,Q9BXA7
Q16891,Substrate,Q16891
Q8IU53,Substrate,Q8IU53
Q9P2W3,Substrate,Q9P2W3
Q96RA2,Substrate,Q96RA2
A0A0A0MS01,Substrate,A0A0A0MS01
Q13415,Substrate,Q13415
O75593,Substrate,O75593
O14649,Substrate,O14649
Q14240,Substrate,Q14240
P12544,Substrate,P12544
Q9ULX6,Substrate,Q9ULX6
Q99720,Substrate,Q99720
Q8TBB6,Substrate,Q8TBB6
O95409,Substrate,O95409
Q6ZN16,Substrate,Q6ZN16
Q13416,Substrate,Q13416
Q8NC01,Substrate,Q8NC01
Q96C55,Substrate,Q96C55
P0DML2,Substrate,P0DML2
O75594,Substrate,O75594
O60568,Substrate,O60568
P29320,Substrate,P29320
O60516,Substrate,O60516
P18440,Substrate,P18440
Q9UNX3,Substrate,Q9UNX3
Q01974,Substrate,Q01974
Q9NYW3,Substrate,Q9NYW3
Q8NCG7,Substrate,Q8NCG7
P29084,Substrate,P29084
P25791,Substrate,P25791
Q6P2E9,Substrate,Q6P2E9
Q9NX04,Substrate,Q9NX04
A6NEE1,Substrate,A6NEE1
Q5T013,Substrate,Q5T013
Q96AP7,Substrate,Q96AP7
Q8NDY6,Substrate,Q8NDY6
P0DSN7,Substrate,P0DSN7
Q9UHE8,Substrate,Q9UHE8
Q86W50,Substrate,Q86W50
Q8IVE0,Substrate,Q8IVE0
Q9UJ96,Substrate,Q9UJ96
Q9BV99,Substrate,Q9BV99
Q9NPI9,Substrate,Q9NPI9
Q15532,Substrate,Q15532
P02748,Substrate,P02748
Q9UMX3,Substrate,Q9UMX3
O60890,Substrate,O60890
Q12891,Substrate,Q12891
Q9UFB7,Substrate,Q9UFB7
Q5XKL5,Substrate,Q5XKL5
Q8IV61,Substrate,Q8IV61
P00505,Substrate,P00505
P07992,Substrate,P07992
Q9BYQ8,Substrate,Q9BYQ8
P48052,Substrate,P48052
O75626,Substrate,O75626
Q5T753,Substrate,Q5T753
P04637,Substrate,P04637
Q5TAA0,Substrate,Q5TAA0
P0CW24,Substrate,P0CW24
P12872,Substrate,P12872
P28845,Substrate,P28845
P16278,Substrate,P16278
Q15464,Substrate,Q15464
Q8TAD7,Substrate,Q8TAD7
Q8WVK2,Substrate,Q8WVK2
Q6PML9,Substrate,Q6PML9
Q3SY17,Substrate,Q3SY17
Q96AE4,Substrate,Q96AE4
Q86VS8,Substrate,Q86VS8
Q8IYM0,Substrate,Q8IYM0
Q8N976,Substrate,Q8N976
Q14019,Substrate,Q14019
Q9BSG5,Substrate,Q9BSG5
Q9Y6E7,Substrate,Q9Y6E7
P0DJ93,Substrate,P0DJ93
Q9H6S0,Substrate,Q9H6S0
P11182,Substrate,P11182
Q9Y6I7,E3,Q9Y6I7
Q9NYP3,Substrate,Q9NYP3
Q8WWV6,Substrate,Q8WWV6
P37802,Substrate,P37802
Q9BYR0,Substrate,Q9BYR0
Q969F2,Substrate,Q969F2
Q9NTG7,Substrate,Q9NTG7
Q5TFQ8,Substrate,Q5TFQ8
Q9BW19,Substrate,Q9BW19
Q7Z460,Substrate,Q7Z460
P30953,Substrate,P30953
P25089,Substrate,P25089
Q6ZUX7,Substrate,Q6ZUX7
Q05516,Substrate,Q05516
A6NDX4,Substrate,A6NDX4
O14638,Substrate,O14638
Q9BVK8,Substrate,Q9BVK8
P0DJR0,Substrate,P0DJR0
Q96PH1,Substrate,Q96PH1
O75094,Substrate,O75094
Q86SY8,Substrate,Q86SY8
Q9NRX3,Substrate,Q9NRX3
Q969E8,Substrate,Q969E8
Q99567,Substrate,Q99567
Q99519,Substrate,Q99519
Q13033,Substrate,Q13033
P0CW21,Substrate,P0CW21
Q9BXN2,Substrate,Q9BXN2
Q9NXI6,Substrate,Q9NXI6
Q2MV58,Substrate,Q2MV58
P14635,Substrate,P14635
A4FU49,Substrate,A4FU49
A8MUP2,Substrate,A8MUP2
P43116,Substrate,P43116
Q9H3J6,Substrate,Q9H3J6
P58182,Substrate,P58182
Q96TC7,Substrate,Q96TC7
Q9UBH6,Substrate,Q9UBH6
Q5TIA1,Substrate,Q5TIA1
P11142,Substrate,P11142
P25445,Substrate,P25445
P42126,Substrate,P42126
Q8WZ74,Substrate,Q8WZ74
Q75N03,E3,Q75N03
P19623,Substrate,P19623
Q7Z624,Substrate,Q7Z624
Q8IYP2,Substrate,Q8IYP2
P41440,Substrate,P41440
Q9NRQ5,Substrate,Q9NRQ5
Q9BZS1,Substrate,Q9BZS1
P01358,Substrate,P01358
Q15654,Substrate,Q15654
Q8IWC1,Substrate,Q8IWC1
Q8NGI2,Substrate,Q8NGI2
Q9NPF0,Substrate,Q9NPF0
O43837,Substrate,O43837
O15173,Substrate,O15173
Q9UJ98,Substrate,Q9UJ98
Q92917,Substrate,Q92917
Q9H714,Substrate,Q9H714
Q96IZ5,Substrate,Q96IZ5
A6NNS2,Substrate,A6NNS2
P13569,Substrate,P13569
Q53T94,Substrate,Q53T94
A8MTA8,Substrate,A8MTA8
Q9Y5T5,Substrate,Q9Y5T5
P13535,Substrate,P13535
Q13371,Substrate,Q13371
Q96F86,Substrate,Q96F86
Q8N5H3,Substrate,Q8N5H3
Q8IUQ0,Substrate,Q8IUQ0
P18859,Substrate,P18859
O43365,Substrate,O43365
Q155Q3,Substrate,Q155Q3
Q9H5K3,Substrate,Q9H5K3
O14514,Substrate,O14514
Q15111,Substrate,Q15111
Q86WK9,Substrate,Q86WK9
A0A0B4J2D9,Substrate,A0A0B4J2D9
P28223,Substrate,P28223
Q6UX07,Substrate,Q6UX07
Q8N2M4,Substrate,Q8N2M4
P09564,Substrate,P09564
I3L273,Substrate,I3L273
P31277,Substrate,P31277
Q8TER0,Substrate,Q8TER0
Q9UNM6,Substrate,Q9UNM6
Q17RQ9,Substrate,Q17RQ9
F8WFD2,Substrate,F8WFD2
Q9NX52,Substrate,Q9NX52
Q5BJE1,Substrate,Q5BJE1
Q9Y2C2,Substrate,Q9Y2C2
O95235,Substrate,O95235
P47736,Substrate,P47736
Q8NH94,Substrate,Q8NH94
Q6EMB2,Substrate,Q6EMB2
Q8IVN8,Substrate,Q8IVN8
P07359,Substrate,P07359
Q6ZQN7,Substrate,Q6ZQN7
Q9UG63,Substrate,Q9UG63
Q9NUI1,Substrate,Q9NUI1
Q13542,Substrate,Q13542
O43508,Substrate,O43508
Q8WUQ7,Substrate,Q8WUQ7
Q8WVB6,Substrate,Q8WVB6
Q8IWU5,Substrate,Q8IWU5
Q92791,Substrate,Q92791
P25788,Substrate,P25788
P35916,Substrate,P35916
Q14943,Substrate,Q14943
O75556,Substrate,O75556
Q96QE5,Substrate,Q96QE5
P0DMV1,Substrate,P0DMV1
Q9H3R2,Substrate,Q9H3R2
P22059,Substrate,P22059
P19875,Substrate,P19875
P15502,Substrate,P15502
Q6S545,Substrate,Q6S545
P0C7H9,Substrate,P0C7H9
O43896,Substrate,O43896
P78318,Substrate,P78318
Q9BTN0,Substrate,Q9BTN0
Q8IWL2,Substrate,Q8IWL2
Q8N8D7,Substrate,Q8N8D7
Q9Y3A2,Substrate,Q9Y3A2
Q13724,Substrate,Q13724
Q9NZ53,Substrate,Q9NZ53
Q8N608,Substrate,Q8N608
A8MUM7,Substrate,A8MUM7
Q08043,Substrate,Q08043
P05121,Substrate,P05121
Q8NGE2,Substrate,Q8NGE2
Q9H5V8,Substrate,Q9H5V8
Q9Y241,Substrate,Q9Y241
O60519,Substrate,O60519
Q9H8M9,Substrate,Q9H8M9
Q13323,Substrate,Q13323
Q5SWX8,Substrate,Q5SWX8
Q96IQ9,Substrate,Q96IQ9
Q5JYT7,Substrate,Q5JYT7
Q8NDZ2,Substrate,Q8NDZ2
P04628,Substrate,P04628
Q13368,Substrate,Q13368
P07477,Substrate,P07477
